index,self,others,symptoms,joke or irrelevant,other related,New Suspected With Lag
6/15/2014,0,0,0,0,1,119
6/22/2014,2,0,0,2,0,61
6/29/2014,2,0,0,0,1,121
7/6/2014,0,1,0,5,2,202
7/13/2014,1,3,0,5,15,140
7/20/2014,6,4,1,10,15,390
7/27/2014,8,1,7,12,10,563
8/3/2014,6,5,2,15,7,953
8/10/2014,3,3,2,7,15,1174
8/17/2014,9,4,4,13,12,356
8/24/2014,12,8,5,11,10,762
8/31/2014,15,16,11,18,18,530
9/7/2014,19,10,1,22,32,906
9/14/2014,28,14,8,18,25,1029
9/21/2014,17,14,6,33,35,730
9/28/2014,23,19,13,50,69,2437
10/5/2014,13,10,5,73,26,1380
10/12/2014,29,9,2,15,17,1371
10/19/2014,18,6,3,16,11,1363
10/26/2014,11,4,2,13,12,1163
11/2/2014,9,4,0,12,5,1036
11/9/2014,12,1,2,8,20,3984
11/30/2014,2,0,1,1,1,1679
12/7/2014,3,0,0,1,5,1661
12/21/2014,3,2,3,7,10,239
